state,customer_lifetime_value,response,coverage,education,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,month
washington,8409,no,basic,college,employed,f,53986,rural,married,70,22,37,1.0,2,corporate auto,corporate l3,offer1,branch,127,four-door car,medsize,2
arizona,13727,yes,extended,college,unemployed,m,0,suburban,single,126,12,4,0.0,2,personal auto,personal l2,offer1,agent,604,,,1
arizona,6652,no,extended,bachelor,employed,m,34886,suburban,married,84,3,40,0.0,5,personal auto,personal l3,offer1,call center,403,two-door car,small,2
california,3509,no,extended,college,employed,m,51800,urban,single,92,29,12,0.0,1,personal auto,personal l2,offer1,agent,299,four-door car,medsize,1
oregon,5010,no,basic,bachelor,employed,f,64014,urban,single,63,26,27,0.0,7,corporate auto,corporate l3,offer1,agent,295,four-door car,large,1
california,7442,no,extended,bachelor,employed,m,57517,suburban,single,96,14,61,0.0,8,corporate auto,corporate l3,offer2,web,460,four-door car,medsize,1
california,15656,no,extended,bachelor,employed,f,71731,urban,single,130,12,50,0.0,2,corporate auto,corporate l2,offer1,branch,599,suv,medsize,2
arizona,2485,no,basic,high school or below,unemployed,m,0,suburban,single,70,24,58,0.0,1,personal auto,personal l2,offer2,call center,504,two-door car,medsize,2
washington,8972,no,basic,bachelor,employed,m,89689,rural,divorced,74,14,4,0.0,2,personal auto,personal l3,offer1,branch,136,four-door car,large,1
oregon,5619,yes,premium,high school or below,unemployed,m,0,suburban,married,153,25,5,0.0,1,special auto,special l1,offer2,web,1027,suv,medsize,1
oregon,25581,no,basic,college,employed,m,27961,suburban,married,72,15,64,0.0,2,personal auto,personal l3,offer1,agent,345,two-door car,small,1
california,5451,no,basic,bachelor,employed,m,55898,suburban,married,69,35,87,0.0,6,personal auto,personal l3,offer1,agent,441,two-door car,medsize,1
washington,6333,no,extended,master,employed,m,71737,urban,divorced,79,7,79,0.0,4,personal auto,personal l2,offer3,agent,338,two-door car,medsize,1
california,6993,no,basic,high school or below,unemployed,f,0,suburban,single,65,29,35,2.0,2,corporate auto,corporate l2,offer1,call center,468,four-door car,medsize,1
oregon,8696,no,basic,bachelor,employed,f,56550,rural,married,73,22,41,3.0,2,corporate auto,corporate l1,offer3,agent,162,,,1
california,8531,no,premium,bachelor,employed,m,98677,rural,married,105,3,40,0.0,9,personal auto,personal l2,offer1,branch,108,four-door car,large,1
california,8311,no,basic,bachelor,unemployed,f,0,urban,married,72,22,79,0.0,2,corporate auto,corporate l2,offer2,agent,311,four-door car,medsize,1
,5366,no,basic,doctor,unemployed,f,0,urban,married,70,5,29,0.0,4,personal auto,personal l2,offer1,agent,223,four-door car,large,2
arizona,8901,no,extended,high school or below,unemployed,m,0,suburban,single,136,14,69,1.0,8,personal auto,personal l3,offer1,agent,1090,sports car,small,1
california,2530,yes,basic,bachelor,employed,f,89451,rural,single,63,15,2,0.0,1,personal auto,personal l3,offer2,web,61,four-door car,medsize,1
arizona,4671,no,basic,high school or below,unemployed,f,0,suburban,single,66,7,66,0.0,9,personal auto,personal l3,offer2,call center,475,four-door car,medsize,1
washington,8263,no,extended,high school or below,unemployed,m,0,rural,married,79,11,45,1.0,2,corporate auto,corporate l3,offer1,agent,46,two-door car,large,2
california,3142,no,extended,bachelor,employed,m,43285,urban,single,83,35,77,0.0,1,corporate auto,corporate l3,offer2,web,265,,,1
arizona,4786,no,basic,college,employed,m,45515,urban,married,61,14,33,0.0,9,personal auto,personal l3,offer2,call center,236,,,1
california,13561,no,extended,college,medical leave,f,29095,urban,divorced,91,29,47,1.0,2,corporate auto,corporate l3,offer1,agent,280,two-door car,medsize,1
oregon,3798,no,premium,bachelor,unemployed,m,0,suburban,married,107,34,70,1.0,1,corporate auto,corporate l3,offer1,web,1261,two-door car,medsize,2
california,9538,no,extended,bachelor,unemployed,m,0,rural,married,85,7,6,0.0,2,personal auto,personal l2,offer4,call center,58,two-door car,medsize,2
arizona,7894,no,basic,bachelor,employed,m,21723,suburban,single,104,31,6,0.0,8,personal auto,personal l2,offer2,call center,748,suv,medsize,1
washington,2860,no,basic,college,employed,m,51159,rural,married,72,4,61,0.0,1,personal auto,personal l2,offer2,branch,4,four-door car,medsize,2
washington,4506,no,premium,college,medical leave,f,15462,suburban,married,115,34,18,0.0,1,corporate auto,corporate l2,offer1,web,611,four-door car,medsize,2
oregon,2150,no,basic,bachelor,unemployed,m,0,suburban,single,63,8,83,0.0,1,personal auto,personal l1,offer1,branch,453,two-door car,medsize,1
california,2413,no,basic,college,medical leave,m,27501,suburban,married,63,20,0,0.0,1,personal auto,personal l1,offer4,branch,542,four-door car,medsize,1
oregon,2556,no,basic,high school or below,employed,m,23867,suburban,married,65,6,99,0.0,1,personal auto,personal l2,offer3,call center,312,four-door car,medsize,1
california,7613,no,basic,high school or below,retired,m,25944,suburban,divorced,70,20,34,0.0,2,personal auto,personal l3,offer4,branch,336,four-door car,medsize,1
nevada,4897,no,basic,bachelor,medical leave,m,24383,suburban,single,69,4,78,2.0,4,corporate auto,corporate l3,offer1,call center,331,four-door car,medsize,1
california,5331,no,basic,high school or below,employed,m,60986,suburban,married,67,30,32,0.0,5,corporate auto,corporate l3,offer4,branch,417,four-door car,medsize,1
arizona,11905,no,premium,high school or below,unemployed,f,0,suburban,single,115,19,39,0.0,2,corporate auto,corporate l1,offer1,branch,840,four-door car,medsize,2
nevada,9118,no,basic,high school or below,employed,f,56446,suburban,married,114,2,8,0.0,3,personal auto,personal l3,offer1,branch,547,suv,medsize,1
oregon,10899,no,extended,high school or below,employed,f,58518,rural,married,136,17,9,0.0,3,personal auto,personal l3,offer1,agent,323,suv,medsize,1
nevada,15641,no,extended,master,employed,f,32370,urban,married,130,31,84,0.0,2,corporate auto,corporate l3,offer3,agent,487,suv,medsize,1
california,2481,no,basic,high school or below,employed,f,77993,suburban,single,62,26,10,0.0,1,personal auto,personal l1,offer2,agent,297,four-door car,medsize,1
washington,7919,no,basic,master,unemployed,m,0,suburban,married,70,13,18,0.0,2,personal auto,personal l1,offer1,agent,336,four-door car,medsize,2
arizona,4506,no,basic,bachelor,disabled,f,14985,suburban,married,116,12,45,0.0,1,personal auto,personal l3,offer1,call center,571,sports car,medsize,1
oregon,16301,yes,extended,master,retired,f,19614,suburban,married,85,21,32,0.0,2,personal auto,personal l3,offer2,agent,574,two-door car,medsize,2
california,19957,no,basic,high school or below,unemployed,m,0,suburban,single,187,1,7,0.0,2,personal auto,personal l2,offer1,agent,1346,luxury car,large,1
arizona,7462,yes,extended,college,employed,f,70263,rural,married,93,30,66,0.0,5,corporate auto,corporate l2,offer2,call center,7,two-door car,small,1
oregon,4742,no,basic,bachelor,employed,f,78596,rural,married,118,1,70,0.0,1,personal auto,personal l1,offer1,branch,133,suv,medsize,2
arizona,5107,yes,basic,bachelor,employed,f,35625,urban,married,65,10,56,1.0,3,personal auto,personal l1,offer2,agent,288,four-door car,medsize,1
arizona,10382,no,basic,high school or below,retired,m,11721,suburban,divorced,102,2,56,2.0,2,personal auto,personal l2,offer2,agent,560,suv,medsize,2
arizona,5528,no,basic,high school or below,medical leave,m,16042,suburban,married,73,33,58,0.0,9,personal auto,personal l3,offer1,agent,350,,,2
,2503,no,basic,bachelor,employed,m,53338,rural,married,63,24,35,1.0,1,personal auto,personal l2,offer4,agent,35,four-door car,medsize,1
oregon,12904,no,premium,bachelor,employed,f,27778,suburban,divorced,109,15,14,0.0,2,personal auto,personal l3,offer1,agent,523,four-door car,large,2
washington,11681,no,extended,bachelor,employed,m,70930,rural,divorced,99,2,21,0.0,2,personal auto,personal l1,offer1,agent,190,four-door car,medsize,2
,6005,no,extended,college,retired,m,13528,suburban,single,86,21,35,0.0,3,personal auto,personal l3,offer1,agent,412,four-door car,medsize,2
washington,5018,no,basic,bachelor,employed,m,54500,suburban,married,63,28,17,0.0,6,corporate auto,corporate l2,offer1,agent,302,two-door car,small,1
,9404,no,extended,bachelor,employed,f,51593,urban,married,80,5,91,2.0,2,personal auto,personal l2,offer1,agent,202,two-door car,medsize,2
,4754,no,extended,college,unemployed,f,0,suburban,single,136,5,46,0.0,1,corporate auto,corporate l1,offer1,call center,652,suv,medsize,1
oregon,6915,no,extended,college,employed,f,96610,suburban,married,85,6,23,0.0,3,corporate auto,corporate l1,offer4,call center,520,four-door car,large,1
oregon,9294,no,extended,bachelor,employed,f,21370,rural,married,77,1,35,0.0,2,corporate auto,corporate l3,offer2,call center,105,four-door car,medsize,1
nevada,3871,no,premium,high school or below,unemployed,f,0,suburban,single,111,10,75,0.0,1,personal auto,personal l3,offer2,agent,799,four-door car,medsize,2
oregon,2938,no,basic,bachelor,employed,f,96765,urban,married,72,15,61,0.0,1,personal auto,personal l3,offer3,call center,216,two-door car,medsize,2
california,7545,no,basic,high school or below,unemployed,f,0,suburban,married,106,19,67,1.0,3,corporate auto,corporate l3,offer3,agent,631,suv,medsize,1
california,2425,no,basic,bachelor,unemployed,f,0,suburban,married,67,3,42,1.0,1,corporate auto,corporate l3,offer2,web,426,four-door car,medsize,1
california,19483,no,extended,high school or below,employed,m,74300,urban,married,122,23,38,0.0,2,personal auto,personal l3,offer2,web,354,suv,medsize,2
arizona,14333,no,basic,master,employed,m,41459,suburban,married,71,8,4,0.0,2,personal auto,personal l3,offer2,call center,340,four-door car,medsize,2
washington,27382,no,extended,high school or below,employed,f,45473,rural,married,76,10,29,0.0,2,special auto,special l2,offer4,branch,188,two-door car,medsize,1
california,4365,no,basic,master,disabled,m,23566,suburban,married,112,3,43,0.0,1,personal auto,personal l2,offer2,agent,537,suv,medsize,1
california,7659,no,extended,high school or below,employed,m,95701,rural,divorced,98,24,8,3.0,3,personal auto,personal l3,offer1,branch,99,four-door car,small,2
california,5386,no,basic,college,employed,f,33716,suburban,married,68,18,67,1.0,3,personal auto,personal l2,offer1,agent,349,four-door car,small,1
washington,2089,no,basic,high school or below,unemployed,m,0,suburban,single,63,30,6,1.0,1,personal auto,personal l2,offer1,agent,453,four-door car,small,2
california,5241,no,basic,bachelor,employed,f,48345,urban,single,67,7,1,0.0,7,personal auto,personal l3,offer2,web,212,four-door car,large,1
arizona,7623,no,basic,high school or below,employed,m,69900,rural,married,64,23,68,0.0,2,personal auto,personal l2,offer4,branch,33,two-door car,large,2
arizona,4533,no,basic,bachelor,employed,m,91967,rural,married,113,15,74,0.0,1,special auto,special l1,offer1,agent,156,suv,medsize,2
california,2722,yes,basic,college,medical leave,f,17576,suburban,married,71,29,70,0.0,1,personal auto,personal l3,offer2,call center,398,four-door car,medsize,2
oregon,5054,no,basic,doctor,employed,f,22241,suburban,married,63,1,1,0.0,6,personal auto,personal l3,offer2,web,343,four-door car,medsize,2
california,25464,yes,extended,college,retired,f,13663,suburban,single,97,1,66,0.0,2,personal auto,personal l2,offer1,branch,465,four-door car,small,2
,8257,no,basic,bachelor,disabled,f,23815,suburban,married,73,4,47,0.0,2,personal auto,personal l3,offer2,call center,424,four-door car,medsize,1
oregon,5923,no,basic,master,employed,f,92163,rural,married,73,3,79,0.0,6,personal auto,personal l3,offer3,web,66,,,2
oregon,4882,no,basic,high school or below,medical leave,f,19715,suburban,married,66,25,11,4.0,5,personal auto,personal l3,offer1,web,475,,,1
washington,12846,no,basic,college,employed,m,93210,suburban,married,107,6,9,2.0,2,personal auto,personal l3,offer1,agent,513,suv,small,2
california,5414,no,extended,bachelor,employed,f,57452,suburban,married,136,25,10,1.0,1,personal auto,personal l1,offer1,branch,652,suv,large,2
oregon,8329,no,basic,high school or below,employed,f,30865,rural,married,104,33,31,0.0,7,personal auto,personal l3,offer1,web,21,suv,medsize,1
california,7430,no,extended,college,employed,m,61568,urban,married,93,3,36,0.0,3,corporate auto,corporate l1,offer1,agent,240,four-door car,medsize,1
california,8161,no,basic,college,employed,m,32967,suburban,married,105,16,70,1.0,4,personal auto,personal l2,offer1,branch,504,,,2
oregon,3713,no,extended,high school or below,employed,m,93308,suburban,married,92,20,56,0.0,1,personal auto,personal l3,offer2,agent,441,four-door car,medsize,2
oregon,8798,no,premium,bachelor,employed,f,24550,suburban,married,111,12,6,0.0,9,personal auto,personal l1,offer2,agent,536,four-door car,small,2
washington,16728,no,extended,high school or below,unemployed,m,0,suburban,single,237,1,29,0.0,5,personal auto,personal l1,offer3,agent,1706,luxury car,medsize,1
california,2326,no,basic,doctor,unemployed,m,0,suburban,married,62,26,98,0.0,1,personal auto,personal l3,offer3,agent,624,four-door car,small,2
arizona,2577,no,basic,high school or below,employed,m,74215,suburban,married,64,27,41,0.0,1,personal auto,personal l3,offer4,branch,345,two-door car,small,1
oregon,6624,no,basic,bachelor,unemployed,m,0,suburban,married,62,27,53,0.0,2,corporate auto,corporate l3,offer1,branch,297,two-door car,medsize,2
california,11790,yes,basic,college,retired,m,25251,suburban,divorced,66,13,43,0.0,2,corporate auto,corporate l3,offer2,web,316,four-door car,medsize,1
oregon,5290,no,basic,high school or below,employed,f,27179,suburban,divorced,66,8,91,0.0,9,personal auto,personal l3,offer1,branch,344,four-door car,medsize,2
oregon,11692,no,extended,bachelor,employed,m,40548,suburban,divorced,98,7,57,0.0,2,personal auto,personal l3,offer1,agent,470,,,2
california,4517,no,basic,bachelor,medical leave,f,25261,suburban,married,118,31,9,0.0,1,personal auto,personal l3,offer4,branch,566,,,2
california,13931,no,basic,bachelor,employed,m,37695,urban,married,118,11,62,0.0,2,personal auto,personal l2,offer1,branch,352,suv,medsize,1
california,15306,no,basic,high school or below,employed,f,83868,rural,married,189,30,91,0.0,7,corporate auto,corporate l2,offer1,agent,134,luxury car,medsize,2
california,7724,no,premium,bachelor,employed,f,32051,suburban,married,193,4,40,1.0,1,personal auto,personal l3,offer1,call center,926,suv,medsize,2
oregon,4505,no,basic,college,employed,f,67801,rural,divorced,115,12,45,1.0,1,personal auto,personal l3,offer3,web,23,suv,medsize,2
arizona,14349,no,premium,bachelor,employed,m,73222,urban,married,180,24,43,0.0,3,personal auto,personal l1,offer1,call center,821,suv,large,2
,4611,no,basic,master,unemployed,m,0,suburban,married,61,4,15,0.0,7,personal auto,personal l3,offer2,web,292,four-door car,medsize,1
arizona,2592,yes,basic,high school or below,employed,m,72421,suburban,married,65,8,23,0.0,1,personal auto,personal l2,offer2,call center,312,four-door car,small,1
california,2762,no,basic,college,employed,f,72335,suburban,single,69,23,35,0.0,1,personal auto,personal l1,offer2,web,331,four-door car,medsize,2
oregon,4909,no,basic,high school or below,employed,m,98693,suburban,married,61,7,57,0.0,3,personal auto,personal l2,offer2,agent,292,four-door car,small,1
oregon,8382,yes,basic,high school or below,retired,m,19683,suburban,married,117,17,41,1.0,9,personal auto,personal l3,offer1,web,561,sports car,medsize,2
arizona,7291,no,extended,master,employed,f,84629,urban,married,90,19,17,0.0,5,personal auto,personal l3,offer2,web,411,four-door car,large,2
,21740,no,extended,high school or below,employed,f,30095,suburban,married,136,0,94,0.0,2,personal auto,personal l3,offer1,web,652,suv,medsize,1
washington,13268,no,premium,high school or below,employed,m,32762,urban,married,112,26,74,0.0,2,corporate auto,corporate l3,offer1,call center,326,four-door car,medsize,1
arizona,24980,no,basic,college,employed,f,88440,rural,single,70,19,30,0.0,2,personal auto,personal l3,offer4,branch,27,two-door car,medsize,2
,4267,no,basic,bachelor,employed,f,43682,rural,married,107,12,73,0.0,1,corporate auto,corporate l3,offer3,branch,148,suv,medsize,2
,6990,no,extended,college,employed,f,22568,suburban,married,88,31,63,0.0,6,corporate auto,corporate l2,offer3,branch,422,four-door car,medsize,1
oregon,5917,no,premium,high school or below,unemployed,m,0,suburban,single,169,31,77,0.0,1,personal auto,personal l3,offer4,agent,1207,suv,medsize,2
oregon,3677,no,extended,high school or below,employed,m,31349,suburban,married,93,10,32,0.0,1,corporate auto,corporate l2,offer4,branch,446,four-door car,medsize,1
nevada,8269,no,basic,college,medical leave,m,20225,suburban,married,114,27,64,1.0,6,special auto,special l2,offer3,call center,547,suv,small,2
arizona,11763,no,extended,high school or below,employed,f,28806,suburban,married,99,35,75,0.0,2,special auto,special l3,offer2,call center,475,four-door car,medsize,2
oregon,2652,no,basic,doctor,unemployed,f,0,suburban,single,73,2,35,0.0,1,personal auto,personal l2,offer1,branch,490,,,2
oregon,8556,no,premium,high school or below,employed,f,52440,urban,single,109,27,58,0.0,3,corporate auto,corporate l3,offer2,agent,371,four-door car,medsize,2
oregon,8776,no,basic,high school or below,employed,f,28360,suburban,married,73,8,65,0.0,2,personal auto,personal l3,offer1,branch,863,four-door car,medsize,2
oregon,4233,no,premium,bachelor,employed,f,95647,suburban,single,106,11,30,0.0,1,personal auto,personal l2,offer1,agent,508,two-door car,medsize,2
arizona,3020,no,basic,college,employed,f,78561,suburban,married,74,15,50,0.0,1,personal auto,personal l1,offer1,branch,355,two-door car,medsize,2
oregon,8543,no,basic,bachelor,employed,m,99180,rural,married,106,15,20,0.0,3,personal auto,personal l1,offer3,branch,33,,,1
oregon,11042,no,basic,college,unemployed,f,0,suburban,single,64,14,91,0.0,2,personal auto,personal l3,offer2,agent,415,four-door car,medsize,1
california,5367,no,basic,college,employed,f,97742,rural,single,67,33,57,0.0,5,personal auto,personal l1,offer1,agent,67,four-door car,small,1
california,8901,no,basic,high school or below,employed,m,46814,suburban,married,113,7,19,0.0,3,corporate auto,corporate l1,offer4,agent,542,suv,medsize,2
oregon,3489,no,extended,bachelor,unemployed,m,0,suburban,married,98,29,37,0.0,1,personal auto,personal l3,offer2,call center,705,four-door car,small,2
oregon,5626,no,basic,bachelor,employed,f,46897,suburban,married,70,16,47,0.0,3,personal auto,personal l2,offer4,branch,344,four-door car,small,1
california,31758,no,extended,master,employed,f,44207,urban,married,99,23,57,0.0,2,corporate auto,corporate l2,offer3,agent,407,four-door car,medsize,1
oregon,2657,no,basic,college,unemployed,m,0,suburban,married,71,22,25,0.0,1,personal auto,personal l1,offer3,call center,340,four-door car,medsize,1
oregon,4428,yes,basic,high school or below,employed,f,58577,urban,married,110,6,62,0.0,1,personal auto,personal l1,offer1,agent,303,,,1
oregon,15808,no,extended,college,employed,m,86347,urban,married,130,17,93,0.0,2,personal auto,personal l2,offer1,web,593,sports car,medsize,1
california,20766,no,basic,bachelor,unemployed,f,0,suburban,single,73,9,28,2.0,2,personal auto,personal l3,offer3,call center,350,two-door car,medsize,1
washington,8255,no,basic,high school or below,employed,f,54040,rural,married,103,14,88,0.0,4,personal auto,personal l2,offer1,agent,59,suv,medsize,1
oregon,8104,no,basic,bachelor,unemployed,f,0,suburban,single,117,24,8,1.0,6,personal auto,personal l2,offer2,agent,842,,,2
oregon,34611,yes,basic,high school or below,employed,f,20090,suburban,married,109,10,59,0.0,2,personal auto,personal l2,offer2,agent,523,sports car,medsize,1
california,5258,no,basic,high school or below,employed,f,37874,rural,married,65,30,65,0.0,8,corporate auto,corporate l3,offer1,branch,41,four-door car,large,2
washington,19069,no,premium,college,unemployed,m,0,suburban,single,102,29,72,2.0,2,personal auto,personal l3,offer1,branch,734,four-door car,medsize,2
oregon,4425,no,basic,college,employed,m,63597,rural,married,114,10,31,2.0,1,personal auto,personal l3,offer2,branch,183,suv,medsize,2
oregon,5926,no,basic,bachelor,employed,f,58733,suburban,married,74,26,42,0.0,9,corporate auto,corporate l2,offer2,call center,355,four-door car,small,2
oregon,5004,no,basic,master,disabled,m,25486,rural,married,65,15,53,0.0,3,special auto,special l3,offer1,web,72,two-door car,medsize,2
oregon,2452,no,basic,bachelor,employed,f,52785,rural,married,61,2,90,0.0,1,corporate auto,corporate l1,offer2,agent,45,two-door car,medsize,1
california,9710,no,extended,high school or below,employed,m,33190,rural,single,123,1,95,0.0,4,personal auto,personal l2,offer1,call center,40,sports car,medsize,1
oregon,7732,no,basic,high school or below,employed,f,34430,urban,divorced,65,6,15,0.0,2,personal auto,personal l2,offer1,agent,184,two-door car,medsize,1
,5638,no,basic,bachelor,employed,m,20920,rural,single,74,19,14,0.0,4,personal auto,personal l1,offer2,branch,14,two-door car,medsize,1
arizona,9560,no,extended,doctor,disabled,f,19429,suburban,married,122,18,21,0.0,9,special auto,special l1,offer1,branch,683,suv,small,2
oregon,26113,no,basic,bachelor,employed,m,80409,urban,divorced,74,28,72,0.0,2,personal auto,personal l3,offer3,call center,262,two-door car,medsize,1
california,12948,no,premium,college,employed,m,30763,suburban,single,111,15,19,0.0,2,personal auto,personal l1,offer1,agent,1072,four-door car,medsize,1
washington,6689,yes,extended,high school or below,employed,m,56980,suburban,married,84,33,70,0.0,7,corporate auto,corporate l3,offer2,agent,599,two-door car,medsize,2
arizona,4637,no,basic,high school or below,unemployed,m,0,suburban,divorced,68,18,81,0.0,3,personal auto,personal l3,offer1,call center,352,four-door car,medsize,2
california,4929,yes,basic,bachelor,employed,m,25632,suburban,married,63,27,52,0.0,7,personal auto,personal l1,offer2,call center,351,two-door car,medsize,1
arizona,9103,no,premium,college,employed,m,65733,suburban,married,113,13,6,0.0,3,personal auto,personal l2,offer2,agent,684,four-door car,medsize,2
california,5243,no,basic,bachelor,employed,f,96535,urban,single,66,11,85,0.0,3,personal auto,personal l3,offer1,agent,271,four-door car,medsize,1
oregon,12421,no,basic,bachelor,employed,m,58781,urban,divorced,106,31,37,0.0,2,personal auto,personal l2,offer1,agent,502,suv,small,1
washington,5639,yes,basic,high school or below,employed,m,73168,suburban,married,70,21,50,0.0,3,personal auto,personal l2,offer2,agent,425,four-door car,medsize,1
washington,4049,no,premium,bachelor,employed,f,62864,rural,single,104,20,14,0.0,1,personal auto,personal l2,offer3,agent,171,two-door car,small,1
arizona,4631,no,basic,bachelor,employed,m,78152,suburban,married,114,18,35,0.0,1,corporate auto,corporate l3,offer4,branch,547,suv,medsize,1
california,23990,no,basic,bachelor,employed,m,69781,suburban,married,119,25,49,0.0,2,personal auto,personal l1,offer2,call center,849,suv,small,1
nevada,7086,no,basic,high school or below,unemployed,f,0,suburban,single,196,10,38,0.0,1,personal auto,personal l3,offer1,branch,1644,luxury suv,medsize,1
oregon,3600,yes,basic,high school or below,retired,f,25147,suburban,single,101,7,54,0.0,1,corporate auto,corporate l3,offer1,agent,694,suv,medsize,2
washington,12321,no,basic,high school or below,medical leave,m,26887,suburban,single,113,32,67,0.0,2,special auto,special l3,offer1,web,542,suv,small,1
california,7019,yes,basic,college,retired,m,26806,suburban,married,63,32,19,0.0,2,personal auto,personal l2,offer1,agent,302,four-door car,medsize,1
arizona,5757,yes,basic,master,employed,m,88997,rural,divorced,72,9,71,0.0,3,personal auto,personal l3,offer2,branch,174,four-door car,small,1
california,4330,yes,premium,college,employed,m,60475,suburban,married,107,9,18,0.0,1,personal auto,personal l1,offer2,branch,513,four-door car,medsize,2
arizona,7614,no,extended,bachelor,employed,m,27293,suburban,married,96,20,55,0.0,6,personal auto,personal l3,offer2,web,469,two-door car,medsize,2
washington,8662,no,basic,college,unemployed,f,0,urban,married,117,0,65,0.0,4,personal auto,personal l3,offer3,call center,511,suv,medsize,2
california,6676,no,extended,high school or below,employed,m,56875,rural,married,84,0,70,0.0,6,personal auto,personal l2,offer3,branch,145,two-door car,medsize,1
arizona,4196,no,premium,high school or below,medical leave,f,18052,suburban,divorced,111,5,71,0.0,1,personal auto,personal l1,offer3,web,699,four-door car,medsize,2
california,2674,yes,basic,college,employed,m,56342,suburban,single,69,12,89,0.0,1,personal auto,personal l2,offer2,call center,331,four-door car,small,2
nevada,7221,no,basic,bachelor,employed,m,33811,urban,married,184,17,59,0.0,1,personal auto,personal l3,offer3,agent,587,luxury suv,medsize,2
oregon,3837,no,extended,bachelor,employed,m,36794,suburban,single,99,0,75,0.0,1,personal auto,personal l3,offer1,agent,712,four-door car,large,2
arizona,3587,no,extended,high school or below,disabled,m,16049,suburban,married,93,3,8,0.0,1,personal auto,personal l2,offer2,call center,446,four-door car,large,2
oregon,8283,no,premium,high school or below,employed,m,71034,suburban,married,103,26,15,0.0,3,corporate auto,corporate l1,offer1,branch,494,four-door car,medsize,2
california,5108,no,basic,college,disabled,m,26784,suburban,married,67,14,82,0.0,8,corporate auto,corporate l3,offer3,branch,482,four-door car,small,1
oregon,4349,yes,basic,college,employed,f,75648,rural,married,108,28,10,0.0,1,personal auto,personal l2,offer2,branch,112,suv,large,2
oregon,14428,no,basic,high school or below,unemployed,f,0,suburban,single,68,2,82,0.0,2,personal auto,personal l1,offer1,branch,326,two-door car,small,1
oregon,7521,no,premium,college,unemployed,m,0,suburban,married,104,13,20,0.0,3,personal auto,personal l3,offer1,branch,499,four-door car,small,2
arizona,32269,no,extended,high school or below,employed,m,41520,urban,married,90,18,70,0.0,2,personal auto,personal l2,offer1,agent,289,,,2
oregon,5627,no,basic,doctor,employed,f,61486,urban,married,70,2,65,0.0,3,personal auto,personal l3,offer2,call center,334,two-door car,medsize,1
washington,5295,no,basic,bachelor,unemployed,m,0,suburban,single,74,19,71,0.0,3,personal auto,personal l1,offer3,agent,532,four-door car,medsize,1
nevada,5678,yes,extended,bachelor,unemployed,f,0,suburban,married,76,8,44,0.0,3,personal auto,personal l2,offer2,agent,364,four-door car,small,1
oregon,3230,yes,extended,college,employed,m,62873,urban,divorced,81,0,41,0.0,1,special auto,special l3,offer2,call center,207,four-door car,medsize,1
arizona,7805,yes,basic,college,retired,f,21073,suburban,divorced,106,25,54,1.0,3,personal auto,personal l2,offer1,agent,508,suv,small,1
,7907,no,basic,college,employed,m,24666,rural,married,101,32,51,0.0,3,personal auto,personal l2,offer3,branch,151,sports car,medsize,2
california,3455,no,extended,high school or below,unemployed,f,0,suburban,single,91,16,63,0.0,1,personal auto,personal l2,offer1,call center,681,four-door car,small,2
oregon,2398,no,basic,high school or below,unemployed,m,0,suburban,married,65,26,97,0.0,1,personal auto,personal l3,offer1,agent,422,two-door car,medsize,2
california,19339,no,basic,master,employed,m,22582,suburban,married,61,0,74,0.0,2,personal auto,personal l1,offer2,web,292,four-door car,medsize,2
,17497,no,basic,college,unemployed,m,0,suburban,divorced,73,9,94,0.0,2,personal auto,personal l3,offer1,agent,350,two-door car,medsize,2
california,3056,no,extended,high school or below,employed,f,78310,suburban,married,76,4,24,0.0,1,personal auto,personal l2,offer3,branch,364,four-door car,medsize,1
arizona,7699,no,basic,bachelor,medical leave,m,23577,rural,married,68,1,67,0.0,2,personal auto,personal l3,offer2,agent,91,four-door car,medsize,2
california,3491,no,extended,master,employed,f,29673,urban,single,92,21,49,2.0,1,corporate auto,corporate l3,offer2,branch,328,two-door car,medsize,2
,2410,no,basic,bachelor,medical leave,m,16258,suburban,married,64,13,84,0.0,1,personal auto,personal l2,offer3,branch,307,two-door car,medsize,2
california,58166,no,basic,bachelor,employed,m,61321,rural,single,186,0,30,1.0,2,personal auto,personal l3,offer2,branch,427,luxury car,small,2
washington,9080,no,basic,high school or below,employed,m,68073,suburban,married,114,16,63,0.0,8,personal auto,personal l3,offer3,agent,547,suv,medsize,2
california,19174,no,basic,bachelor,employed,f,74028,rural,married,118,10,16,0.0,2,corporate auto,corporate l1,offer4,call center,53,suv,medsize,2
washington,7824,no,basic,college,employed,m,32823,suburban,married,100,1,36,0.0,8,personal auto,personal l3,offer2,agent,480,suv,medsize,1
california,2117,no,basic,bachelor,unemployed,m,0,suburban,single,64,0,78,0.0,1,personal auto,personal l3,offer1,branch,426,four-door car,medsize,2
washington,3580,no,extended,college,employed,f,75333,urban,married,90,15,44,1.0,1,personal auto,personal l1,offer2,web,289,,,1
california,5233,no,basic,high school or below,employed,f,69231,urban,married,65,19,7,0.0,9,personal auto,personal l1,offer2,agent,193,four-door car,medsize,1
nevada,5079,no,extended,doctor,employed,f,83288,urban,married,124,18,70,0.0,1,personal auto,personal l3,offer1,agent,353,suv,medsize,1
